,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
TGF-b3,47.2,45.2,38.3,48.1,50.8,49.3,46.5,41.3,49,45.3,39.8,39.8,42.4,41.2,48.7,45.5,69.6,42.6,60.5,40.4,39.8,41.3,39.2,51.5,41.2,31
PCSK9,45.5,50.1,56.1,47,33.6,40.6,44.8,47.2,42.2,38.6,45.1,50.3,59.6,52.2,44.4,56.9,41.7,44.3,29.2,47.2,52,36.3,45.8,36.2,43.8,40.4
FGF23,61.7,70.6,82,65.3,88.7,65.1,61.4,66,83,69.5,64.2,72.5,84,62.7,65.7,73.1,61.6,71.5,70.6,62.1,78.6,67.9,142.6,70,68.8,71.6
FGF-20,44.5,43,38.4,45.3,36.5,41.9,48.5,43.3,42.6,33.9,43.5,42.1,47.9,39.6,41,46.3,43.3,42.1,37,44.2,43.1,30.2,39.7,39.9,45.3,32.2
VEGF sR3,58.9,60.8,47.7,51.8,50.4,54.1,65.2,63.6,48.8,61,57.7,57.6,60.9,218.1,70.7,67.2,77.3,58.1,47.2,45.1,58.1,48.8,53.1,73.3,58.2,41.9
URB,71.7,72.6,58.2,63.2,89.6,72.6,69.8,62.1,60.8,65.4,63.5,60,69.7,60.3,69.2,52.8,80.3,54.5,65.6,69.9,56.9,55.6,65.9,81.1,71.2,64.4
BGH3,88.9,72.8,148.6,70.9,119,79.4,95.3,95.3,63.6,134.8,66.9,70.2,78.7,63.2,105.7,78.3,247.1,64.6,69,66.5,75.8,89.2,76,752.5,93.3,95.1
ATS13,43.5,34.7,29,35.5,33.2,41.2,36.8,34.4,29,31.2,35.7,34.4,37.3,33.3,34.6,31.6,40.6,32.5,27.3,33.8,32.9,38.8,32.9,39.6,38.7,29.7
MK12,62.5,69.4,70.1,68.1,73.3,69.4,110.5,71.8,68.7,69,69.9,68,77.1,66.9,76.2,76.6,80.9,73.2,59.1,74.2,68.8,59.6,65.9,74.9,67.2,61
WIF-1,132.5,111.3,106.2,101,144.9,115.6,106.5,94.3,94.4,106,86.9,97.5,101.7,82.4,91.6,93,113.4,126.3,128.6,106.6,98.5,129.5,156.6,103.5,134.4,163
LD78-beta,86.6,90.4,112.8,78.9,91.3,122.8,72.2,89.2,82.5,88.4,86.4,74.1,85.5,87.2,81,63.4,75.7,85.6,99.1,125.6,67.5,64.6,70.7,67.4,97.7,81
PERL,139.5,2468.8,791.6,3418.4,331.7,681.3,80.4,381.4,13308.5,3150.4,1232.6,2584.3,1830.5,10347.9,2231.8,364,780.2,1258.4,477.6,223.1,13080.4,4464.8,1008.2,1985.5,292.2,1603.1
Peroxiredoxin-6,190.5,194.5,228,585.4,121.9,206.8,189.8,248.2,169.5,117.8,128.8,216.5,198.7,131.9,113.1,255.7,117.7,153.6,113.6,162.8,399,235.5,164,100.4,179.9,407.9
TMA,109.2,116.8,138.8,112.7,220.2,147.9,111.9,113.3,117.2,182.1,98.2,107.9,110.6,92.4,110,89.1,125.3,105.6,162.7,139.4,93.9,102.3,116.2,107.5,105.4,158.6
LIMP II,171.6,361.8,149.7,452.9,118.5,127.2,228.4,397.9,485.8,420.6,259.7,897.1,76.6,232.2,266.3,588.3,373.8,360.7,909.4,137.1,231.1,920.1,98.9,204.4,635.3,473.9
KREM2,145.2,132.6,149.3,127.5,253.4,130.2,283.9,115.6,135.7,225.5,124.6,107.8,114.5,102.7,144.7,108.7,183.9,114.2,232.9,126.8,103.1,141.2,147.7,167.5,119.4,122.9
PTK6,60.8,62.9,61.2,60.5,72.4,70.5,106.5,70.4,60.5,77.2,62.7,62.8,71.4,107,91.9,73.7,223.6,66.4,49.5,57.9,63.1,49,66.6,148.8,65.2,56.3
BTC,162.8,150,200.5,159,160.6,153.1,155.2,146.3,142.1,191.4,139.1,164.6,176.6,221.9,228.2,167,160,140.4,132.4,147,177.3,123.8,147.7,172,139,259.9
Endothelin-converting enzyme 1,143.9,159.7,1347.1,471.5,323.1,708.1,134.4,329.7,195.5,180.8,143.4,166,175.1,161.4,150.6,177.4,191.6,170.6,319,283.9,151.1,201.2,307.2,134.8,173.2,278.7
IFN-lambda 2,56.3,49.8,38.1,45.8,63,68.8,65.2,50,44.9,51.8,49.7,47.5,49.6,48.6,59.4,48,62.1,48.9,48.8,47.6,46.4,39.9,54,65.4,53.3,29.1
SLIK5,40.3,45.8,38.5,40.6,39.2,41.7,41.9,43.1,42.8,36.3,43.1,44.5,50.2,38.5,41.8,43.5,42.8,45.4,40.7,40.8,48.8,55.8,50.6,40,43.8,37.2
UB2G2,609.4,390.6,478.7,676.6,369.9,448,482.1,559.9,752.3,963.4,780.2,354.2,332.9,788.9,845.1,437,472.8,498.5,589,721.6,296.9,614.8,479.3,519.8,487.5,690.7
Nectin-like protein 1,64.2,80.9,403.2,71.1,158.6,81.4,73.7,76.1,75.5,84.2,69.9,88.6,106.4,59.9,63.4,85.4,70.4,76.5,77.2,69.8,74.6,58.4,83.5,65.6,66.1,80.1
EDA,115.9,66.7,65.5,64.5,95.2,99.4,74.1,61.1,66.2,92.4,61.7,59.9,63.6,76,102.1,58.4,101.1,62.9,85.2,78.7,52.2,66.5,65.1,72.5,72.7,57.9
PCI,144.7,118.5,105.2,96.5,167.4,122,122.5,105.4,102,129,107.1,101.9,96.7,209.6,107.5,93.3,128.4,91.2,118.9,114.7,84,90.6,125.7,114,144.9,101
Glutathione S-transferase Pi,237.9,121.5,149.5,264,146.7,268.2,238.7,161.6,528.5,113.2,237,341.3,84.3,103.6,259.7,156.7,140.2,683.2,355.5,172.6,509.4,12497.6,95.2,174.8,314.1,104.2
TSG-6,40,34.2,34.5,38.3,43.3,36,41,35.6,35.7,35.6,36.9,35,39.3,36.6,46,38.8,44.7,37.6,33.3,40.6,37.1,33.2,33.1,45.1,35.4,30.7
Lipocalin 2,5541,17818.7,9793.9,8258.6,103.2,7899.6,168.8,3922.8,38246,131.7,38135.8,10912.2,45555,2467,223.7,5338.9,353,308.9,428.1,4619.9,150192.1,13308.4,74263.5,804.9,37923.3,43608.2
PGP9.5,4502.7,2214.5,3275.1,5343.9,6233,13628.6,4803.2,2889.7,10510.5,6951,6855.5,2130.7,1969.3,11887.2,4757.6,4216.6,6170.3,12275.8,12419.5,10683.5,3814.8,17123.9,2938.2,4732.8,6561.3,3718.7
LYN,40.5,37.4,31,37.3,33.8,30.7,53.9,38.8,31.5,28.1,37.2,37.3,38.3,37.1,35.7,37.8,44.9,55.6,38.1,36.3,32,28,30.6,36,37.2,29.4
IL-8,295.5,103.7,99.3,102.8,101.6,90.6,78.6,108.5,201.1,109.7,127.2,122.7,102.8,85.3,104.6,63.3,81.2,76.8,203.1,80.7,311.8,7209,834.2,132.7,357.5,80.1
IGFBP-2,151.6,131,132.9,183.2,90.1,117.6,102.4,121.1,141,88.3,114.5,141.5,208.9,166.1,94.5,165.7,101.6,197.1,116.8,117.3,147.8,827.1,221.2,113.1,127.1,198.3
ROBO2,71.4,73,102.2,73.5,119.4,76.2,81.1,96.6,66.5,128.3,61.3,71,75,132.5,96.3,74,112.4,72.5,65.6,68.4,75,81.2,84.5,87.2,67.4,82.6
Aminoacylase-1,7485.6,17702.4,7555.6,7406.4,8440.3,22658.6,3454.7,4458.2,43392,1242,15586.4,44217.8,1091.7,14277.3,4048.9,10174.9,820.9,15607,49012.9,1300.4,382,43911.4,1918.3,1778.6,4849.8,760.4
H2A3,140.5,126.2,142.4,178.1,144.6,116.7,197.5,114.1,327.8,107.2,117.8,203.5,101.5,188.9,121.6,132.8,167.6,181,414.9,125.8,183.1,1415.4,145.2,117.7,107.2,197.7
IL-17 RC,81.9,102,122.2,83.8,97.5,100.1,84.6,85,93.1,80.1,92.3,87.3,103.5,89.7,81,96.9,81.3,151.1,96.8,102,75.3,99.7,87,104.4,99.6,230.5
Spondin-1,107.6,67.4,38,64.1,64.7,68.5,119.8,73,46.4,115.1,65.7,51.1,70.3,287.2,164,55.8,474.6,51.1,55.1,28.4,49.1,78,64.1,266.1,75.5,37.2
DLC8,60,60.9,55.9,60.6,68.2,54.7,68.6,58.8,61.6,56.4,60,61,65.2,52.9,67.1,56,86.5,58.3,52.7,56.4,59.4,44.4,59.1,70.4,62.2,54.7
Chk2,39,43.3,34,40,27,43.8,40.2,36.7,34.2,28.9,46.2,38.3,43.4,36.2,38.4,40.5,38.2,42.2,32.6,40,41.1,26.6,34.4,33.7,37.1,30.3
Stanniocalcin-1,37.7,43.4,39.3,39.2,37.5,37.2,37.6,41.4,36.3,34.3,39.2,45.9,48.9,46.3,39.9,42,43.5,41.2,26.7,41.2,45.5,57.9,39.4,32.3,40.4,43.2
IFNA7,48.9,54.8,67.9,54,56.5,50,53.3,53.8,51.1,46.9,50.9,62.9,65.1,62.2,48,61.3,50,51,38.7,51,56.8,41,58.9,51.7,53.4,50.4
"transcription factor MLR1, isoform CRA_b",52,50.5,41.8,45.2,40.9,42.9,49.3,45.1,43.2,40,47.1,47.3,53.2,42.6,48.5,47.7,48,48,32.8,44.7,48.2,33.1,42.6,47.4,49,32.8
AMNLS,50.4,39,30.2,33.7,24.2,38.3,38.3,36.8,32.3,26.7,41.7,36.6,43.1,30.7,30.4,37.1,40.9,30.7,22.1,29.3,38.8,24.3,32.8,34.7,36.2,39.4
Lamin-B1,100.1,68.3,77,73.2,130,94.1,89.2,71.6,81.2,125.5,80.3,63.5,73.5,88.7,104.6,66.5,110.6,75.8,91.6,91.4,62.3,69.8,76,92.7,76,47.5
SEM5A,149.5,135.5,128.2,108.9,83.9,152,119,129.4,65.2,73.1,83.4,1243.6,83,70.2,77.2,130.8,66.8,159.7,62,73.2,1115.1,289,65.4,58.3,85.7,75.7
b-ECGF,51.4,45.8,36.3,40.1,39.4,42.6,38.2,35.6,33.7,32.1,37.7,35.8,40.6,34.6,38.9,33.8,38.6,38.7,24.5,38.5,37.4,27.2,36.9,46.7,39,40.7
OSM,125.2,85.7,90.8,87.3,131.4,116.6,88.7,89.6,81.9,118.8,86.1,87.8,93,80.6,79.2,73.3,85.4,86.1,115,101.7,81.2,92.7,82.1,80.9,89.8,106
CPNE1,74.9,79.1,142.6,89.6,119.7,73.6,113.4,95.9,470.1,99.3,214.3,98,80.5,251.4,136.2,91.3,215.1,291.1,1018.6,68.4,75,244.9,81.9,114.8,166.9,93.5
Semaphorin 3A,76.9,82.6,78.5,72.5,80.3,73.3,73.5,69.2,68.3,69.8,73,78.4,74.2,60.3,68.7,75.5,70.8,71.6,75.9,79.2,67.5,59.3,74.9,70.1,70.5,100.7
LAG-1,109.7,71.5,40.4,57.4,101.7,81.1,76.9,61.4,45.2,52.5,55.6,45.4,45.5,70.1,64.6,54.1,82.6,42.1,52.5,42.4,50.3,83.7,64.3,95.6,94.7,28.8
4EBP2,70.6,63.9,41.7,48.6,61.9,57.1,102.5,62,58.9,96.5,109.3,47.7,143.6,147.7,130.6,53.1,349,71,54.4,52.7,48.8,375.9,58.5,242.9,88.6,113.9
FABPE,109.8,115.2,136.3,109.9,109.3,136.1,104.6,113.4,120.8,139.9,133,121.3,121.2,134.5,152.9,124.3,98.6,110.6,92.8,121.2,139.8,169.3,111.7,110.8,114.1,175.5
Transgelin-2,489.3,479.4,959,791.4,444.5,695.5,709.2,705.1,651.8,804.4,934,1042.6,353.3,586.4,959,1018.9,1926.5,1066.2,784.7,1275.2,338.3,2197.2,461.8,717.3,624,885.2
Caspase-10,4220.6,5211.1,5919.5,3184.4,2836.5,2974.3,2056,2598.3,5940.6,3079.5,5718,3128,5559.4,4791.5,5191.1,3298.2,3038.8,4987.4,3807.1,7602.9,987.8,5208.4,6149.7,2771.3,5803.3,3851
Plasmin,149.7,94.2,104.8,96.6,192.4,156.1,189.8,106.7,106.4,150.9,100.7,92.2,87.2,104.8,140.5,82,178.6,91.5,150.7,108.5,77.4,107.9,112.1,141.8,124.4,83.2
IGFBP-7,93,58.1,59.7,66.5,87.5,88,100.2,55.5,60.3,77.8,59.5,55.5,54.9,62.5,74.5,48.8,97.2,53.3,71.9,75.3,49.6,68.3,70.2,147.4,57.1,37.8
LCMT1,362.4,275.8,194.7,211.7,311.1,281.7,277.5,149.4,393.7,309.8,613.8,148.7,271.7,446,332.6,139.2,1057.6,254.1,496.4,347.7,121.5,453.3,282.9,700.6,187.1,283.1
CHST2,527.8,168.6,88.4,126.9,322.5,495,401.3,147.2,146.6,198,131,76.2,89.5,170.8,202.7,64.5,501.5,90.1,168,154.2,46.5,153.7,265.2,563.5,161.8,51.9
FGF-19,81.2,52,43.8,52.4,55.3,69.8,65.2,45.2,47.8,49.1,51.8,46.6,50.6,58.8,52.7,40.2,68,63.8,48.6,54.3,44,47.6,51.5,58.6,55,39.7
17-beta-HSD 1,89.3,114,408.9,97.4,201.5,96,112.2,95.2,129.4,78.7,92.7,122.9,157,82.7,90.4,111.2,94.4,153.4,93.4,100.7,92,76.9,128.6,92.2,85.9,151.7
H31,151.7,179.2,152.5,280.6,158.8,154.4,179.7,150,782.5,180.8,121.1,167.9,109,387.3,173.3,204.8,263.6,158,658.1,180.3,385,4055.8,122.1,127.2,176.1,205.8
PPID,36.2,33.1,34.2,31.8,27.9,29.7,30.6,33.4,27.5,26.5,30.3,33.9,39,33.7,28.6,27.1,30.1,29.8,22.8,29.9,33.6,23,31,25.5,32.6,54.1
AMPK a2b2g1,96.8,95,272.4,113.5,235.1,105.3,114.8,119.7,99.6,188.8,94.2,88.1,119.4,88.1,121.3,95.7,119.8,104.3,123.2,90.6,88.5,91.1,109.9,129.1,102.7,128.6
DSC2,156,255.9,168.1,265.1,64,97.7,105.7,359.4,102.9,80.6,104.2,158.3,272.4,83.6,88.8,172.5,112.5,141.8,158.7,270.5,282.7,306.8,185,95.7,206.9,530.5
Cadherin-12,104.4,110.5,355.7,110.4,189.5,110.3,114.7,103.4,111.9,132.7,97.7,103.4,109.3,85.1,111.5,125.1,104.5,108.4,131.9,100.3,108.6,90.5,116.6,108.9,103.5,144.8
phosphoglycerate kinase 1,888.2,1134.8,745.5,780.9,639.8,1276.3,721.5,1060.2,1293.8,694.3,1414.3,546,1360.8,1461.6,992,735,954.8,942.4,934.1,1533.7,511.3,1686.4,1053.1,803.8,1001.8,1141.4
MIF,388.1,737.8,455.9,436.9,288.8,386,400.9,429.4,2068.8,354.7,414.1,755,525.2,728.9,337,692.4,334.3,420.5,289.8,493.1,830,402.9,442.2,341.9,1119.9,1058.2
SCF sR,475.6,148.5,145.5,164.9,462.1,376,333.4,201.5,188.6,447.9,187.4,95.2,123.9,403.5,219.7,104,434.2,140.1,315.9,236.5,85.4,250.7,181.2,436.7,213,120.4
sE-Selectin,147.4,92.8,108.7,104,189.7,127.9,108.3,97.5,106,154.3,96.5,96.5,90.7,116.8,114.8,97.2,136.8,89.4,126.7,107.8,78.9,115.8,98.6,114.8,112.2,82.6
MIP-3a,39.4,35.7,32.4,35.3,35,44,45.4,41.1,32.6,39.6,35.8,36.4,39.6,45.6,44.1,33.4,56.2,39.8,32.6,36.6,39.3,29.6,32.7,58.5,35.1,31
bFGF,129,107.1,184.6,145.4,240.9,182,160.4,180.2,151.8,254.6,138.8,118.5,180.9,290.1,296,109,220.4,141,232.8,151.4,146.6,128.4,133.7,134.5,137.4,146.7
SPTA2,37.9,40.3,59.3,39.7,52.6,39.3,41.7,40.7,33.2,38.4,38.8,40.5,48.4,76.5,40.1,41.2,39.1,42.2,43.5,38.7,41.3,51.4,37.5,38.2,35.8,33.2
NSE,90.9,106.4,175.3,106.8,116.4,98.8,89.1,99.3,96.2,94.2,103.4,120.5,118.1,82.2,82.4,115.8,92.7,92.2,79.3,94.7,108.2,86.2,106.3,90.7,93,177
Kallistatin,1824.9,3463.4,1049.4,2269.7,256,1523.2,486.6,1661.4,5061.9,2435.4,789.2,2376,221.2,5246.6,1100,2256.6,483.4,1021.2,11958,693.3,8387.7,5159.1,11151.5,2879.4,1459.7,478.9
Prolactin Receptor,146.5,151.1,260.4,129.9,262.5,163.7,144.7,134.2,151.2,245.9,150.7,139.6,129.6,127.3,152.5,147.8,150.6,167,171.8,191.9,117.5,154.3,199.7,225.3,196.5,178.6
CaMKK alpha,228.4,337.3,2195,4506.6,564.2,926.5,277.3,608.1,665.5,450.7,297,516,210,345.3,351.6,4948.6,553.7,327,451.4,8855.7,480.9,735.8,218.6,142.7,275.4,505.5
PLXC1,68.6,53.7,48.6,57.9,50.4,63.6,53.9,47.6,63,54.1,56.9,51.2,54.9,56.2,59,48.5,56.9,52.1,68.3,61.6,51,93.3,51.6,59.1,61,55.4
IL-17D,113,63,49.5,68,126.8,155.2,127.8,56.6,71.8,73.5,60.9,57.2,57.1,83.3,100.7,53.9,166.2,55.7,90,78.9,45.5,54.9,73.9,158,66.3,39.4
PSA,81.4,86.4,109.3,94.2,104.5,79.7,72.1,88.2,92.9,81.9,81.5,101.4,90.8,76.1,72.4,95.5,74.9,113.4,91.7,84.4,112,78.4,129.7,107.5,75.7,98.5
Aggrecan,67.8,51.7,48.3,58.7,59.7,54.4,56.3,54,54.3,57.4,56.2,50.5,55.4,48.7,55.1,52.4,65.5,51.1,71.3,59.3,52.9,50.3,50.7,53.3,54.7,36
IL-13,98.9,109.7,239.2,108.8,157.4,110.5,107.4,122.8,108.8,130.4,97.9,129.2,124.1,110.1,100.8,121.8,102.4,99.2,92.1,116.7,108.6,86.6,121,94.4,113.4,204
BCAR3,150.6,175.6,763.8,164.9,253.3,170.1,146.2,149.4,156.9,196.3,176.6,162.7,180.6,298.4,151.8,184.9,135.3,151.9,161.7,157.3,144.4,127.6,185.8,142.1,156.6,258.4
MSP,77.5,56.1,39.3,71.8,61.2,58,91.2,65.3,50.8,67.7,67.1,48.9,62.3,168.8,77.8,53.3,101.9,51.2,54.6,42.4,50,67.5,59.6,105.7,64,53.8
PEX5,46.6,49.1,64.3,44.3,60.3,43.5,49.5,47.6,46.2,58.3,44.4,54.9,56.4,44.8,46,53.5,43,45.4,39.8,49,52.8,40.2,68.4,44.7,47.3,37.5
NKG2D,72.8,67,96.4,65.3,108.1,77.3,87.8,81.1,67.9,108.3,75.3,63.5,76.6,593.8,98.9,60.2,137.3,81.5,76.2,67.3,62.5,65.9,80.1,108.9,72.7,60.4
Apo D,207.6,237.6,805.1,198.1,335.8,246.2,193.9,189.2,339.2,273.1,239.2,243.5,198.7,219.7,191.2,223.7,216.8,251.8,413.4,227.4,181.4,339.4,508.6,254.6,202.2,381
IL-11,110.9,61,45.6,56.8,94,86.3,102.6,73.7,54.3,99.6,67.9,44.1,55.7,106.5,94.5,50.2,116.5,60.8,70.3,57.8,41.6,62.6,67,122.2,82,31.6
ST4S6,59.4,60.8,46.4,96.8,40.8,52.4,59,54.6,51.4,50.7,55.1,60.8,67.1,48.6,55.2,61.2,55.4,49,39.8,51.6,61.4,40.5,49.9,58.4,56.8,56.6
FETUB,55.6,53.2,48.7,51.4,54.3,49,77.3,52.7,50.1,52,49.2,56.6,56.8,43.2,56.7,52,67,49.4,45.2,53.8,55.4,47.4,64.7,53.5,48.4,34.7
6Ckine,151.9,143.8,77.4,97,100.1,111,156.3,124.1,93.7,137.6,107.3,81.1,100.2,384.3,179.2,81.3,237.5,70.6,75.8,96.7,66.7,86.8,107.6,205.9,140.9,155.8
IL-1Ra,236.8,224,1543.5,228.1,406.3,263,334.9,282.7,266,649.5,291.6,251.4,182.2,302.7,505.7,234.3,326.2,270,646.5,311.1,1944.7,1530.9,266.7,495.7,194.9,295.6
IDUA,816.9,1106.7,758.8,2048.5,520.2,1882.4,334.3,657.3,761.4,1665.4,926.5,1523.8,359.6,175.5,1038.4,1082.8,636.6,615.1,1168.8,526.2,2876.3,3161.6,2205.8,1183.9,326.1,2041.7
"Fas ligand, soluble",93.4,116.4,102.7,93.7,76.2,93.3,115.5,151.7,108,77.2,95.1,115.6,113.9,83.3,88.7,118.3,164.1,111.8,108.9,248.5,99.9,95.8,107.7,91.8,139.7,159.8
Activin A,51.9,55.9,44.9,54.3,51.3,45.9,49.9,50.2,45.7,45.4,51,50.9,57.6,46.8,52.5,55.5,51.3,44.8,38.8,48.8,55.6,146.7,47.5,49.7,50.7,35.3
ASM3A,8525.8,19294.4,11402,10681.3,3345.5,13995.5,2427.8,4638.3,16196.4,6513.9,31882.8,5239.9,11684.4,11551.2,4412.9,2409.4,1201.5,14834.4,8082.9,4794.5,19290.5,24059.8,26566.1,1858.9,5633.7,38809.4
PIAS4,60.1,60.9,120.3,66.9,84.5,51.3,64.9,55.5,66.4,58.9,68.9,68.6,63,59.7,53.9,73,61.5,70.1,97.7,72.5,62.8,68.7,121.5,49.9,62.4,83.8
IGFBP-1,65,74.1,60.5,68.5,100.4,59.2,63,64.7,55,91.1,63.2,68.2,63.9,51.8,169.9,77.9,64.3,53.6,44.8,72.3,62.5,136,66.8,55.3,64,60.4
LYVE1,69.7,51.4,52.1,60.1,69.5,64.2,63.9,48,50.2,64.1,54.5,72.5,45,55.3,77.3,40.7,112.8,54.3,63.5,69.3,879.3,1212,55.9,69.9,57.9,63.2
EP15R,400.1,152.7,71.9,123.5,184,182.7,255,148.4,116.5,216,154.8,69.6,109.7,426.4,259.6,80.5,520.4,119.2,138.7,109.9,61.4,159,149.4,628.9,175.8,141.4
SMOC1,697.7,774.3,692.3,703.1,378.4,553.6,504.3,612,596.6,485.9,572.4,710.9,908.7,538,601.7,777.5,438.6,552.5,446.6,537.1,672.1,474.8,625.1,375.8,604.9,1673.5
PYY,47.7,37.1,40.2,43.4,46.6,45.2,49,42.4,50,47.9,44.1,34,42.8,80.6,53.8,42.7,60,44.4,42.3,45.2,38.4,39.5,43,54.9,41,36.6
IL-1 sRI,30.2,38.9,30.3,33,22.5,31.4,28.2,31.5,31,24.4,30.9,32.6,38.5,27.4,26.5,27.5,26.7,32,21.7,35.9,34.4,394,32.7,29.6,33,31
PHI,51.9,74.6,41.1,36.2,32.3,34,114.3,363.9,40.4,30.8,40.1,38.7,38.6,47.9,36.8,71.5,43.7,105.4,960.8,56.3,38.9,12469.6,48.5,36.2,606.1,35
DRR1,64.3,59.4,56.3,55.3,45.2,54.5,47.3,52.3,53,43.9,52.7,56.4,63.9,51.2,47.7,57.7,47.1,49.3,41.2,59.4,56.8,39.6,53,42.5,56.9,49.1
RPS6KA3,102.4,69.1,50.9,64.3,103,96.7,88,65.6,75,77.1,72.5,54.5,62.8,87.3,80.7,60.5,118.5,60.8,74.3,65.6,56.7,63.2,73.3,112.7,77.4,48.5
CONA1,136.3,95.4,62.6,120.9,87.1,95.9,94.9,73.8,138.6,68.1,87,98.9,75.9,91.2,80,76.6,108.9,83.6,154.3,63.5,126.7,253.7,111.1,143.1,116,62.6
GDNF,73.5,71,103.7,66.6,71.9,68.3,71.6,71.5,65.6,75.4,66.9,76.9,82,76.6,82.6,73.8,78,71.9,60.2,79.1,68.9,53.7,69.7,68.4,66.6,86.6
GFRa-1,51.4,57.1,49.5,51.9,54.3,60.1,51.9,49.1,64.6,53.8,74.4,51.8,55.4,45.6,56.6,52.7,62.4,54.6,49,57.7,48.8,37.1,49.2,56.3,55,43.8
LRRT1,74.8,46.2,23.8,32.7,35,48.9,46.9,41,39.1,36.9,31.1,32.6,40.8,39.7,39,27.5,51.7,29.2,29.2,33.6,30.4,27.7,58.9,50.3,42.1,33.5
Renin,48.4,48.4,41.9,43.2,34.7,47.2,52.5,42.3,44.4,39.7,46.7,49,52.8,44.9,44.2,51,48.7,45.9,35,48,51.6,32.9,46.8,41.3,43.3,31.9
ACTH,99.2,78.2,238.6,137.1,157.8,183.9,128.9,99.2,124.8,100.4,90,86.2,94.4,141.3,106.4,152.4,165.7,199.2,254.3,142.9,78.7,80.1,93.2,78.3,88.7,90.1
TS,239.4,119.7,123,194.8,114.6,228.2,661,123,157.4,99.6,202,205.2,116.3,160.7,158.7,154.1,251.9,293.5,623.6,183.9,211.1,185.2,139.9,284.1,124.6,174.5
CYTD,153.6,198.8,170.9,263.3,108.5,147.1,147.8,180.2,272.6,344.8,158.4,323.9,241.9,388.6,253.3,507.6,168.4,292.1,115.1,162.5,228.7,2089,184.5,142.1,153.2,355.7
IFN-lambda 1,69.7,71.5,52.2,64.2,54.2,59.1,78.9,67.9,95.6,70.3,77.5,68.1,74.2,114.6,85.9,69,79.6,66,64.9,56.3,70.9,74.7,63.7,82.3,64.6,98.5
Tenascin,106.1,103.6,86.8,149.6,99,106.9,100.6,109.9,250.2,111.9,145,113,105.6,194.3,107.1,116.2,113.1,106.8,151,98.7,112,1274.1,87.4,106.2,101.6,160.2
LY86,2859,2313.1,2673.4,2278.8,2548.5,6568.1,1753.4,1669.6,7998.1,3429.1,4124,2241.1,2715.8,8271.5,4142.9,3052.7,2966.5,3940.6,6107,4007.7,1486.3,6433.2,3295.7,1976.9,2420.2,2613.5
CK-BB,77.2,77.9,89.9,105.9,146.7,96,88.7,142.3,79,114.2,70,75.8,87,58.2,90.7,69.8,86.7,142.2,93.4,77.8,64.4,138.5,72.1,88.8,114.9,56.6
IgM,7424.8,19352.1,9225,13636.1,1364.9,8294.3,1202.4,72012.7,253.6,1979.1,236.1,11454,480.9,304,8117.2,14195.3,624.7,2482.5,344.3,2779.2,54865.9,12156.8,232.7,1698.2,14675.7,5418.1
SPINT2,54.5,54.8,46.2,83.1,36.4,48.7,48.3,55.9,85.5,67.9,72.8,54.3,57.1,64.3,68.2,53,49,62,61.5,46.6,61.4,59.5,53.7,50.8,67.6,43.8
Activated Protein C,86.8,84.4,235.3,92,192.6,133.1,86,165.1,100.4,122.4,75.4,88.2,144.2,72.4,79.2,90.9,81.7,82.9,87.3,123.1,83.3,78,107.5,91.9,194.9,151.7
Protein disulfide-isomerase,36.1,40,35.7,37.8,35.1,44.4,57.6,42.3,41.1,56.5,40.3,37.8,41.1,65,78.4,37.3,154.2,41.2,37.5,36.6,35.8,27.4,40.7,92.9,31.6,32.8
WISP-1,6637.5,7492.9,6863.4,6054,4444.3,8980.6,5609.2,7679.5,8289,5350.2,7907.7,8594.1,8462.3,8902.1,7515.7,10268.5,5683.6,8892.6,5842.9,6855.2,11323.6,13281.6,6526.4,6606,6325.7,14945
BGN,224.1,87,63,94.6,128.9,131.7,155.8,148.2,69.3,123.8,84.1,67.3,70.1,115.4,104.5,64,211.1,75.1,100.8,109.2,54.9,78.8,90.7,272.3,150.3,92
PDK1,72.3,108.3,134,84.4,106.3,106.9,91.9,95.5,123.6,134.8,116.7,126.7,115.8,134.8,70.3,89,96.6,113.2,120.9,100.3,88.6,139.2,106.4,98.1,84.1,146.1
I-309,115.1,119.6,125.5,104.7,142.8,116.3,105.8,112.4,112.3,141.2,109.6,117.4,125.4,83.8,100.5,100.7,99.9,118.3,122.5,135.5,103,98.4,95.5,95.6,102.1,154.8
BCL2-like 1 protein,63.7,68.9,57,62.3,71.6,65.9,61.6,65.6,65.2,63.3,68.4,63.3,67.4,53.8,56.9,54.2,58.9,67.6,70.6,73.1,60.3,53.3,52.9,62.7,54,58.8
NCK1,72.4,66.9,87.2,63.7,80.2,72.7,58,102.7,68.6,66.7,62.7,75.6,70.7,66.3,59.3,75.2,59.4,66.1,56.2,81.5,66.7,73.1,74.3,58.2,78.2,54.4
Kallikrein 6,472.4,282.3,228.4,269.9,491.7,364.9,463,495.8,1030.6,828.6,533,207.6,144.9,663.4,667.3,257.6,599.2,809.6,645.2,457.3,152.7,1405.7,279.5,1292.4,652.8,219.3
Mammaglobin 2,2584.9,2597.4,2370.7,2615.2,2984,7240.3,1963.8,1396.5,6577,2640.2,5446.3,2140,2528,5853,3694.6,2531.7,3494.9,8383.5,4550.9,4373.8,1077.5,7395.4,2818.2,3775.2,2037,1826.8
